"Name","Total Time","Total Time (CPU)","Hits"
"                                Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                 Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                  Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                   Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                    Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                     Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                      Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                       Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                        Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                         Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                          Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                           Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                            Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                             Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                              Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                               Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                 Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                  Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","1"
"                                                   Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","24"
"                                                    Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","28"
"                                                     Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","31"
"                                                      Filtered out","5,691 ms (-0%)","5,691 ms (-0%)","30"
"                                                       Filtered out","5,388 ms (-0%)","5,388 ms (-0%)","28"
"                                                        Filtered out","3,898 ms (-0%)","3,898 ms (-0%)","16"
"                                                         Filtered out","3,898 ms (-0%)","3,898 ms (-0%)","16"
"                                                          Filtered out","3,824 ms (-0%)","3,824 ms (-0%)","15"
"                                                           Filtered out","3,707 ms (-0%)","3,707 ms (-0%)","14"
"                                                            Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                             Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                              Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                               Filtered out","185 ms (-0%)","185 ms (-0%)","2"
"                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","10"
"                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","10"
"                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","11"
"                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","24"
"                                                      Self time","89.3 ms (-0%)","89.3 ms (-0%)","29"
"                                                       Filtered out","89.3 ms (-0%)","89.3 ms (-0%)","1"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","19"
"                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","18"
"                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
